Ref,Water kg/m^3,Cement kg/m^3,Sand,NCA,RCA,SP,Dia Max,Density RCA,W RCA,UCS,W/C,Agg/C,RCA %
[8],234,360,705,0,1100,0,19,2390,4.4,22.1,0.65,3.055555556,100
,190,380,705,0,1100,0,19,2390,4.4,25.1,0.5,2.894736842,100
,192,400,705,0,1100,0,19,2390,4.4,27.2,0.48,2.75,100
,181,420,705,0,1100,0,19,2390,4.4,28.7,0.430952381,2.619047619,100
,184,460,705,0,1100,0,19,2390,4.4,29.5,0.4,2.391304348,100
[9],178,264,835,0,1030,0,30,2520,3.8,18,0.674242424,3.901515152,100
,174,262,830,0,1020,0,30,2510,3.9,15.4,0.664122137,3.893129771,100
,148,427,760,0,1000,4.2,30,2520,3.8,36.4,0.346604215,2.341920375,100
,153,423,755,0,990,4.1,30,2510,3.9,35.7,0.361702128,2.340425532,100
,152,443,855,0,885,3.9,30,2520,3.8,44.4,0.343115124,1.997742664,100
,225,410,642,840,204,0,20,2580,3.5,45.3,0.548780488,2.546341463,19.54022989
[10],225,410,642,524,506,0,20,2580,3.5,42.5,0.548780488,2.512195122,49.12621359
,225,410,642,0,1017,0,20,2580,3.5,38.1,0.548780488,2.480487805,100
,205,410,662,865,210,0,20,2580,3.5,51.7,0.5,2.62195122,19.53488372
,205,410,662,541,525,0,20,2580,3.5,47.1,0.5,2.6,49.24953096
,205,410,662,0,1049,0,20,2580,3.5,43.4,0.5,2.558536585,100
,180,400,708,886,215,5.6,20,2580,3.5,62.4,0.45,2.7525,19.52770209
,180,400,708,554,538,5.6,20,2580,3.5,56.8,0.45,2.73,49.26739927
,180,400,708,0,1075,5.6,20,2580,3.5,52.1,0.45,2.6875,100
,160,400,729,912,221,7.8,20,2580,3.5,69.6,0.4,2.8325,19.50573698
,160,400,729,570,554,7.8,20,2580,3.5,65.3,0.4,2.81,49.28825623
,160,400,729,0,1107,7.8,20,2580,3.5,58.5,0.4,2.7675,100
